x,f(x),spline
-1,0.0384615,0.0384615
-0.98,0.039984,0.0400653
-0.96,0.0415973,0.041698
-0.94,0.0433088,0.0433885
-0.92,0.0451264,0.0451658
-0.9,0.0470588,0.0470588
-0.88,0.0491159,0.0490929
-0.86,0.0513084,0.0512789
-0.84,0.0536481,0.0536244
-0.82,0.0561482,0.0561368
-0.8,0.0588235,0.0588235
-0.78,0.0616903,0.0616947
-0.76,0.0647668,0.0647713
-0.74,0.0680735,0.0680771
-0.72,0.0716332,0.071636
-0.7,0.0754717,0.0754717
-0.68,0.0796178,0.0796109
-0.66,0.0841043,0.084092
-0.64,0.088968,0.0889563
-0.62,0.0942507,0.0942452
-0.6,0.1,0.1
-0.58,0.10627,0.106268
-0.56,0.113122,0.113119
-0.54,0.120627,0.120629
-0.52,0.128866,0.128875
-0.5,0.137931,0.137931
-0.48,0.147929,0.14789
-0.46,0.158983,0.158907
-0.44,0.171233,0.17115
-0.42,0.184843,0.184792
-0.4,0.2,0.2
-0.38,0.21692,0.216964
-0.36,0.235849,0.23594
-0.34,0.257069,0.257203
-0.32,0.280899,0.281029
-0.3,0.307692,0.307692
-0.28,0.337838,0.337522
-0.26,0.371747,0.371067
-0.24,0.409836,0.408927
-0.22,0.452489,0.451704
-0.2,0.5,0.5
-0.18,0.552486,0.554054
-0.16,0.609756,0.612655
-0.14,0.671141,0.674229
-0.12,0.735294,0.737202
-0.1,0.8,0.8
-0.08,0.862069,0.860599
-0.06,0.917431,0.915174
-0.04,0.961538,0.959449
-0.02,0.990099,0.98915
6.17562e-16,1,1
0.02,0.990099,0.98915
0.04,0.961538,0.959449
0.06,0.917431,0.915174
0.08,0.862069,0.860599
0.1,0.8,0.8
0.12,0.735294,0.737202
0.14,0.671141,0.674229
0.16,0.609756,0.612655
0.18,0.552486,0.554054
0.2,0.5,0.5
0.22,0.452489,0.451704
0.24,0.409836,0.408927
0.26,0.371747,0.371067
0.28,0.337838,0.337522
0.3,0.307692,0.307692
0.32,0.280899,0.281029
0.34,0.257069,0.257203
0.36,0.235849,0.23594
0.38,0.21692,0.216964
0.4,0.2,0.2
0.42,0.184843,0.184792
0.44,0.171233,0.17115
0.46,0.158983,0.158907
0.48,0.147929,0.14789
0.5,0.137931,0.137931
0.52,0.128866,0.128875
0.54,0.120627,0.120629
0.56,0.113122,0.113119
0.58,0.10627,0.106268
0.6,0.1,0.1
0.62,0.0942507,0.0942452
0.64,0.088968,0.0889563
0.66,0.0841043,0.084092
0.68,0.0796178,0.0796109
0.7,0.0754717,0.0754717
0.72,0.0716332,0.071636
0.74,0.0680735,0.0680771
0.76,0.0647668,0.0647713
0.78,0.0616903,0.0616947
0.8,0.0588235,0.0588235
0.82,0.0561482,0.0561368
0.84,0.0536481,0.0536244
0.86,0.0513084,0.0512789
0.88,0.0491159,0.0490929
0.9,0.0470588,0.0470588
0.92,0.0451264,0.0451658
0.94,0.0433088,0.0433885
0.96,0.0415973,0.041698
0.98,0.039984,0.0400653
1,0.0384615,0.0384615
